"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления тест-кейса","0","Проверка удаления тест-кейса","Surefire suite","Mon Oct 06 22:46:12 UTC 2025","skipped","Mon Oct 06 22:46:12 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Создание проекта","1332","Создание проекта","Surefire suite","Mon Oct 06 22:45:32 UTC 2025","failed","Mon Oct 06 22:45:34 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка сообщения о создании тест-кейса","22020","Проверка сообщения о создании тест-кейса","Surefire suite","Mon Oct 06 22:46:12 UTC 2025","failed","Mon Oct 06 22:46:34 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"","22405","Проверка создания нового проекта","Surefire suite","Mon Oct 06 22:46:56 UTC 2025","failed","Mon Oct 06 22:47:19 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка входа с пустым паролем","2139","Проверка входа с пустым паролем","Surefire suite","Mon Oct 06 22:48:28 UTC 2025","passed","Mon Oct 06 22:48:30 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Создание нового проекта без названия","22085","Создание нового проекта без названия","Surefire suite","Mon Oct 06 22:47:41 UTC 2025","failed","Mon Oct 06 22:48:03 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка входа с валидными логином/паролем","22061","Проверка входа с валидными логином/паролем","Surefire suite","Mon Oct 06 22:48:30 UTC 2025","failed","Mon Oct 06 22:48:52 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Создание теста в действующем проекте","37649","Создание теста в действующем проекте","Surefire suite","Mon Oct 06 22:45:34 UTC 2025","failed","Mon Oct 06 22:46:12 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка логина с негативными данными","1791","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 22:48:52 UTC 2025","passed","Mon Oct 06 22:48:54 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка удаления созданного проекта","22054","Проверка удаления созданного проекта","Surefire suite","Mon Oct 06 22:47:19 UTC 2025","failed","Mon Oct 06 22:47:41 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Изменение тест-кейса","22011","Изменение тест-кейса","Surefire suite","Mon Oct 06 22:46:34 UTC 2025","failed","Mon Oct 06 22:46:56 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка входа с с невалидным логином и паролем","2311","Проверка входа с с невалидным логином и паролем","Surefire suite","Mon Oct 06 22:48:25 UTC 2025","passed","Mon Oct 06 22:48:28 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Проверка перехода на страницу создания тест-кейса","22167","Проверка перехода на страницу создания тест-кейса","Surefire suite","Mon Oct 06 22:48:03 UTC 2025","failed","Mon Oct 06 22:48:25 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Проверка логина с негативными данными","1942","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 22:48:54 UTC 2025","passed","Mon Oct 06 22:48:56 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
